Category,Value Band,Band Lower £,Band Upper £,FY,Award Count,Total Value £,Avg Value £
services,£1m-£5m,1000000,5000000,FY2020/21,795,1722844111.78,2167099.51
services,£1m-£5m,1000000,5000000,FY2021/22,2291,5348355426.42,2334506.95
services,£1m-£5m,1000000,5000000,FY2022/23,2563,5820538154.33,2270986.4
services,£1m-£5m,1000000,5000000,FY2023/24,2770,6152629110.36,2221165.74
services,£1m-£5m,1000000,5000000,FY2024/25,3112,7318668631.47,2351757.27
services,£1m-£5m,1000000,5000000,FY2025/26,2141,5017311798.36,2343443.16
services,£1m-£5m,1000000,5000000,FY2026/27,6,15772942.0,2628823.67
services,£5m-£20m,5000000,20000000,FY2020/21,474,4815561368.47,10159412.17
services,£5m-£20m,5000000,20000000,FY2021/22,1174,10923262776.45,9304312.42
services,£5m-£20m,5000000,20000000,FY2022/23,1189,11612651444.45,9766737.97
services,£5m-£20m,5000000,20000000,FY2023/24,1808,19030715309.19,10525838.11
services,£5m-£20m,5000000,20000000,FY2024/25,1626,16740403726.14,10295451.25
services,£5m-£20m,5000000,20000000,FY2025/26,1305,13374075490.84,10248333.71
services,£20m-£50m,20000000,50000000,FY2020/21,107,3551674621.5,33193220.76
services,£20m-£50m,20000000,50000000,FY2021/22,452,13205532967.42,29215780.9
services,£20m-£50m,20000000,50000000,FY2022/23,682,20024245248.45,29361063.41
services,£20m-£50m,20000000,50000000,FY2023/24,592,16956015557.5,28641918.17
services,£20m-£50m,20000000,50000000,FY2024/25,844,25519675901.7,30236582.82
services,£20m-£50m,20000000,50000000,FY2025/26,564,18768840029.59,33278085.16
services,£50m-£100m,50000000,100000000,FY2020/21,228,15572262579.13,68299397.28
services,£50m-£100m,50000000,100000000,FY2021/22,352,21527265388.22,61157003.94
services,£50m-£100m,50000000,100000000,FY2022/23,422,29710771240.07,70404671.19
services,£50m-£100m,50000000,100000000,FY2023/24,496,33534473033.63,67609824.66
services,£50m-£100m,50000000,100000000,FY2024/25,342,22240718390.39,65031340.32
services,£50m-£100m,50000000,100000000,FY2025/26,255,16451335442.02,64515040.95
services,£100m-£500m,100000000,500000000,FY2020/21,150,39137119653.0,260914131.02
services,£100m-£500m,100000000,500000000,FY2021/22,582,115992134852.66,199299200.78
services,£100m-£500m,100000000,500000000,FY2022/23,569,128775401285.58,226318807.18
services,£100m-£500m,100000000,500000000,FY2023/24,433,84585219947.0,195346928.28
services,£100m-£500m,100000000,500000000,FY2024/25,462,85744476396.0,185594104.75
services,£100m-£500m,100000000,500000000,FY2025/26,715,133808128894.82,187144236.22
services,£500m+,500000000,,FY2020/21,101,246603558480.0,2441619390.89
services,£500m+,500000000,,FY2021/22,285,2687108339984.0,9428450315.73
services,£500m+,500000000,,FY2022/23,954,3047042002184.0,3193964362.88
services,£500m+,500000000,,FY2023/24,331,531863728349.0,1606839058.46
services,£500m+,500000000,,FY2024/25,313,572536680264.25,1829190671.77
services,£500m+,500000000,,FY2025/26,259,750310344367.98,2896951136.56
goods,£1m-£5m,1000000,5000000,FY2020/21,288,634352339.0,2202612.29
goods,£1m-£5m,1000000,5000000,FY2021/22,947,2112347514.67,2230567.6
goods,£1m-£5m,1000000,5000000,FY2022/23,768,1840721734.52,2396773.09
goods,£1m-£5m,1000000,5000000,FY2023/24,1032,2445716459.43,2369880.29
goods,£1m-£5m,1000000,5000000,FY2024/25,980,2305997588.99,2353058.76
goods,£1m-£5m,1000000,5000000,FY2025/26,525,1168750776.55,2226191.96
goods,£5m-£20m,5000000,20000000,FY2020/21,190,1931725104.04,10166974.23
goods,£5m-£20m,5000000,20000000,FY2021/22,602,6138798535.13,10197339.76
goods,£5m-£20m,5000000,20000000,FY2022/23,719,6992186007.75,9724876.23
goods,£5m-£20m,5000000,20000000,FY2023/24,573,5078645242.64,8863255.22
goods,£5m-£20m,5000000,20000000,FY2024/25,620,6149965417.06,9919299.06
goods,£5m-£20m,5000000,20000000,FY2025/26,395,3613096735.01,9147080.34
goods,£20m-£50m,20000000,50000000,FY2020/21,89,2720963814.32,30572627.13
goods,£20m-£50m,20000000,50000000,FY2021/22,208,6685745381.36,32143006.64
goods,£20m-£50m,20000000,50000000,FY2022/23,275,8298866461.94,30177696.23
goods,£20m-£50m,20000000,50000000,FY2023/24,274,7681289282.23,28033902.49
goods,£20m-£50m,20000000,50000000,FY2024/25,256,7549562747.59,29490479.48
goods,£20m-£50m,20000000,50000000,FY2025/26,186,5283179895.54,28404192.99
goods,£50m-£100m,50000000,100000000,FY2020/21,27,1562346330.41,57864678.9
goods,£50m-£100m,50000000,100000000,FY2021/22,83,5758641825.92,69381226.82
goods,£50m-£100m,50000000,100000000,FY2022/23,112,6904183421.38,61644494.83
goods,£50m-£100m,50000000,100000000,FY2023/24,129,8539219453.32,66195499.64
goods,£50m-£100m,50000000,100000000,FY2024/25,291,17226482274.47,59197533.59
goods,£50m-£100m,50000000,100000000,FY2025/26,72,5006010582.84,69527924.76
goods,£100m-£500m,100000000,500000000,FY2020/21,51,7574540073.0,148520393.59
goods,£100m-£500m,100000000,500000000,FY2021/22,149,39446955032.0,264744664.64
goods,£100m-£500m,100000000,500000000,FY2022/23,51,9828100158.36,192707846.24
goods,£100m-£500m,100000000,500000000,FY2023/24,338,74068879121.31,219138695.63
goods,£100m-£500m,100000000,500000000,FY2024/25,191,47585154604.36,249136935.1
goods,£100m-£500m,100000000,500000000,FY2025/26,231,42884265863.32,185646172.57
goods,£500m+,500000000,,FY2020/21,28,38361633447.27,1370058337.4
goods,£500m+,500000000,,FY2021/22,57,111415960224.0,1954665968.84
goods,£500m+,500000000,,FY2022/23,41,55851638686.89,1362235089.92
goods,£500m+,500000000,,FY2023/24,70,69346548503.0,990664978.61
goods,£500m+,500000000,,FY2024/25,138,149890000000.0,1086159420.29
goods,£500m+,500000000,,FY2025/26,115,243336592496.54,2115970369.54
works,£1m-£5m,1000000,5000000,FY2020/21,92,250672495.94,2724701.04
works,£1m-£5m,1000000,5000000,FY2021/22,365,1017689219.49,2788189.64
works,£1m-£5m,1000000,5000000,FY2022/23,323,822496470.22,2546428.7
works,£1m-£5m,1000000,5000000,FY2023/24,495,1322876388.34,2672477.55
works,£1m-£5m,1000000,5000000,FY2024/25,360,977547893.8,2715410.82
works,£1m-£5m,1000000,5000000,FY2025/26,309,780894611.92,2527167.03
works,£5m-£20m,5000000,20000000,FY2020/21,186,1879102927.84,10102703.91
works,£5m-£20m,5000000,20000000,FY2021/22,344,3370961434.67,9799306.5
works,£5m-£20m,5000000,20000000,FY2022/23,331,3140877726.73,9489056.58
works,£5m-£20m,5000000,20000000,FY2023/24,502,5115979635.38,10191194.49
works,£5m-£20m,5000000,20000000,FY2024/25,358,3385219341.64,9455919.95
works,£5m-£20m,5000000,20000000,FY2025/26,281,2605789462.28,9273272.11
works,£20m-£50m,20000000,50000000,FY2020/21,27,820229505.12,30378870.56
works,£20m-£50m,20000000,50000000,FY2021/22,138,4092150679.26,29653265.79
works,£20m-£50m,20000000,50000000,FY2022/23,168,5153276636.07,30674265.69
works,£20m-£50m,20000000,50000000,FY2023/24,197,5819414849.5,29540176.9
works,£20m-£50m,20000000,50000000,FY2024/25,148,4384252663.88,29623328.81
works,£20m-£50m,20000000,50000000,FY2025/26,132,4516139771.36,34213180.09
works,£50m-£100m,50000000,100000000,FY2020/21,14,937382586.0,66955899.0
works,£50m-£100m,50000000,100000000,FY2021/22,49,3392809284.51,69241005.81
works,£50m-£100m,50000000,100000000,FY2022/23,330,20088516477.0,60874292.35
works,£50m-£100m,50000000,100000000,FY2023/24,188,12028822041.61,63983095.97
works,£50m-£100m,50000000,100000000,FY2024/25,139,9658270168.94,69483958.05
works,£50m-£100m,50000000,100000000,FY2025/26,75,4837320816.95,64497610.89
works,£100m-£500m,100000000,500000000,FY2020/21,38,9256550000.0,243593421.05
works,£100m-£500m,100000000,500000000,FY2021/22,52,10284043551.0,197770068.29
works,£100m-£500m,100000000,500000000,FY2022/23,169,28357252645.78,167794394.35
works,£100m-£500m,100000000,500000000,FY2023/24,301,54023358424.79,179479596.1
works,£100m-£500m,100000000,500000000,FY2024/25,167,31548027796.32,188910346.09
works,£100m-£500m,100000000,500000000,FY2025/26,157,29984738184.0,190985593.53
works,£500m+,500000000,,FY2020/21,16,11969000000.0,748062500.0
works,£500m+,500000000,,FY2021/22,123,373920700566.0,3040005695.66
works,£500m+,500000000,,FY2022/23,91,166804383706.09,1833015205.56
works,£500m+,500000000,,FY2023/24,81,58333246310.0,720163534.69
works,£500m+,500000000,,FY2024/25,113,243807025241.83,2157584294.18
works,£500m+,500000000,,FY2025/26,192,307778521838.0,1603013134.57
