dept_id,dept_name,name_in_organogram,grade_in_organogram,job_title_in_organogram,unit_in_organogram,source_checked,source_url,current_role_matches,current_unit_matches,still_in_post,notes
hmt,HM Treasury,Russell Elizabeth,,"Second Permanent Secretary","Ministerial & Communications",GOV.UK governance page,https://www.gov.uk/government/organisations/hm-treasury/about/our-governance,yes,yes,yes,"Listed as Second Permanent Secretary on EMB page (correct as of 20 Oct 2025). Full name Beth Russell = Elizabeth Russell."
hmt,HM Treasury,Glover Jessica,,"Director General and Chief Economic Adviser","Ministerial & Communications",GOV.UK governance page,https://www.gov.uk/government/organisations/hm-treasury/about/our-governance,no,yes,yes,"Still in post as Director General Productivity and Growth. Title changed from Chief Economic Adviser — suggests internal reorganisation between Oct and Dec 2025."
hmt,HM Treasury,Coady Rebecca,,"Director - Corporate Centre","Corporate Centre",GOV.UK governance page,https://www.gov.uk/government/organisations/hm-treasury/about/our-governance,no,yes,yes,"Still in post as People & Operations Director. Unit description shifted; same individual confirmed on EMB page."
hmt,HM Treasury,Vickerstaff Matthew,,"Director of Finance and Deputy CEO Infrastructure Projects Authority","National Infrastructure and Service Transformation Authority",GOV.UK governance page,https://www.gov.uk/government/organisations/hm-treasury/about/our-governance,,,unknown,"Not listed on EMB governance page. Finance Director role shown as Sarah Whitehead. Vickerstaff's unit (NISTA) sits within the HMT group but may report separately. Cannot confirm from governance page alone — governance page only lists ~12 EMB members, not all Director-level staff."
hmt,HM Treasury,Gallagher Daniel,,"Director - Economics","Economics",GOV.UK governance page,https://www.gov.uk/government/organisations/hm-treasury/about/our-governance,,,unknown,"Not listed on EMB governance page. DG Economics role is Professor Brian Bell. Gallagher is likely a Director one tier below DG — governance page does not list this tier."
mod,Ministry of Defence,Rouse Deana,,"Director Resources HO&CF","LEVEL 2: COO",GOV.UK governance page,https://www.gov.uk/government/organisations/ministry-of-defence/about/our-governance,,,unknown,"MoD governance page describes committee structures and roles but does not list any named individual members. Cannot verify from this source."
mod,Ministry of Defence,Cooke Kerry,,"NAD-CSM-PFO Programme Director","LEVEL 2: COO",GOV.UK governance page,https://www.gov.uk/government/organisations/ministry-of-defence/about/our-governance,,,unknown,"MoD governance page names no individuals. Cannot verify."
mod,Ministry of Defence,Mitchell Austin,,"Secretary of State COS-2","LEVEL 2: DELIVERY AND STRATEGY",GOV.UK governance page,https://www.gov.uk/government/organisations/ministry-of-defence/about/our-governance,,,unknown,"MoD governance page names no individuals. Cannot verify."
mod,Ministry of Defence,Berthon Richard,,"FCAS Director","LEVEL 2: DCDS MILCAP",GOV.UK governance page,https://www.gov.uk/government/organisations/ministry-of-defence/about/our-governance,,,unknown,"MoD governance page names no individuals. Cannot verify."
mod,Ministry of Defence,Cameron Eliza,,"Strat Hub-Strategy-Dir","LEVEL 2: DELIVERY AND STRATEGY",GOV.UK governance page,https://www.gov.uk/government/organisations/ministry-of-defence/about/our-governance,,,unknown,"MoD governance page names no individuals. Cannot verify."
dfe,Department for Education,Trowler Isabelle,,"Director","Families Group",GOV.UK governance page,https://www.gov.uk/government/organisations/department-for-education/about/our-governance,,,unknown,"Governance page lists DG level and above only. Families Group DG is Gila Sacks — Trowler would be a Director one level below. Cannot confirm or deny from this source."
dfe,Department for Education,Waite Helen,,"Director","CSC Strategy and Care System",GOV.UK governance page,https://www.gov.uk/government/organisations/department-for-education/about/our-governance,,,unknown,"Governance page lists DG level and above only. Cannot verify Director-level individuals."
dfe,Department for Education,Dixon Kate,,"Director","Strategy and Safer Streets",GOV.UK governance page,https://www.gov.uk/government/organisations/department-for-education/about/our-governance,,,unknown,"Governance page lists DG level and above only. Cannot verify Director-level individuals."
dfe,Department for Education,Dethridge Kate,,"Director","Regions Group: South East",GOV.UK governance page,https://www.gov.uk/government/organisations/department-for-education/about/our-governance,,,unknown,"Governance page lists DG level and above only. Tim Coulson is Regions Group DG. Cannot verify sub-DG Directors."
dfe,Department for Education,Taylor Sophie,,"Director","Educational Engagement Access and Wellbeing (EEAW)",GOV.UK governance page,https://www.gov.uk/government/organisations/department-for-education/about/our-governance,,,unknown,"Governance page lists DG level and above only. Cannot verify Director-level individuals."
nhse,NHS England,Palmer Cally,,"National Cancer Director","Medical",GOV.UK governance page (2016 data),https://www.england.nhs.uk/about/our-people/nhs-england-executive/,,,unknown,"Organogram data is from September 2016 — 9+ years old. NHS England reorganised substantially; individuals almost certainly not in same roles. Not cross-checked individually due to age of data."
nhse,NHS England,Shields Kate,,"Regional Director of Specialised Commissioning (South)","South Region",GOV.UK governance page (2016 data),https://www.england.nhs.uk/about/our-people/nhs-england-executive/,,,unknown,"2016 data — not cross-checked. See note for Cally Palmer above."
nhse,NHS England,Lipp Alistair,,"Medical Director (Midlands and East - East)","Midlands and East Region",GOV.UK governance page (2016 data),https://www.england.nhs.uk/about/our-people/nhs-england-executive/,,,unknown,"2016 data — not cross-checked."
nhse,NHS England,Luffingham Nicola,,"Director of Operations and Delivery (South Central)","South Region",GOV.UK governance page (2016 data),https://www.england.nhs.uk/about/our-people/nhs-england-executive/,,,unknown,"2016 data — not cross-checked."
