Supplier,Awards,Awards_per_year,Mean_value_GBP,Median_value_GBP,Total_value_GBP
AtkinsRéalis,386,77.2,83314700,8000000,28660256914
Mitie,273,54.6,77847543,6000000,16970764402
Mott MacDonald,254,50.8,69459076,5000000,14100192375
KPMG,245,49.0,48944942,2311652,10572107546
Deloitte,234,46.8,99811795,4479609,19662923690
Capita,224,44.8,168978689,4636000,33457780513
EY,217,43.4,45902724,3000000,8905128410
PwC,188,37.6,60942873,2037880,10116516881
Kier,183,36.6,428269561,110725000,68523129700
Jacobs,157,31.4,53669484,6250000,7084371835
G4S,126,25.2,126740613,4000000,15462354798
BT,121,24.2,175495541,5435645,20532978352
BAE Systems,107,21.4,171456090,7332949,17317065060
Accenture,97,19.4,138442201,15000000,12598240285
CGI,97,19.4,229334731,250000000,20640125804
Serco,96,19.2,390245640,211876932,34731861934
Amey,83,16.6,191311169,86250000,13009159504
IBM,81,16.2,157355016,13500000,11329561142
ISS,80,16.0,130406193,2000000,9780464439
Oracle,78,15.6,41654297,557000,2874146525
Capgemini,69,13.8,110723442,5000000,5646895558
Tilbury Douglas,69,13.8,654491678,137500000,38615008998
Vodafone,60,12.0,129434001,1980563,7507172049
Balfour Beatty,59,11.8,686081219,140688825,27443248751
Fujitsu,59,11.8,457408567,28650000,19211159813
Computacenter,56,11.2,146280652,424468,6436348674
Atos,51,10.2,218062361,12000000,10685055678
Thales,48,9.6,124984087,4150000,5249331636
Sodexo,43,8.6,252234831,1190562,9080453927
Babcock,31,6.2,692747480,3120651,20782424386
Bouygues,30,6.0,946878577,250000000,22725085844
Microsoft,29,5.8,70896626,530554,1914208909
Sopra Steria,26,5.2,253826893,41842535,4822710960
Virgin Media,24,4.8,1268554,1007822,27908181
DXC,23,4.6,139849426,3985063,3216536804
Leidos,17,3.4,176036821,1157299,2288478673
AWS,10,2.0,20898139,1441953,146286972
Laing O'Rourke,4,0.8,2938169955,103509864,8814509864
KBR,1,0.2,857999,857999,857999
